date,케데헌_콘텐츠,device,gender,age_group,국립중앙박물관,뮷즈_굿즈
2025-01-31,0.0,all,all,all,11.81856,0.58472
2025-01-31,0.0,all,f,all,12.64294,0.55474
2025-01-31,0.0,all,m,all,10.38202,0.64995
2025-02-01,0.0,all,all,10s,4.14185,0.0788
2025-02-01,0.0,all,all,20s,16.38601,0.65011
2025-02-01,0.0,all,all,30s,18.47223,0.83677
2025-02-01,0.0,all,all,40s_plus,20.99042,0.52411
2025-02-01,0.0,all,all,all,19.08813,0.6383
2025-02-01,0.0,all,f,all,19.647,0.63222
2025-02-01,0.0,all,m,all,19.24978,0.66032
2025-02-02,0.0,all,all,10s,3.02977,0.17513
2025-02-02,0.0,all,all,20s,10.63625,0.64478
2025-02-02,0.0,all,all,30s,10.9264,0.89999
2025-02-02,0.0,all,all,40s_plus,12.46441,0.48744
2025-02-02,0.0,all,all,all,11.498,0.65146
2025-02-02,0.0,all,f,all,12.50348,0.66166
2025-02-02,0.0,all,m,all,10.33707,0.62921
2025-02-03,0.0,all,all,10s,2.62697,0.03502
2025-02-03,0.0,all,all,20s,8.85644,0.61281
2025-02-03,0.0,all,all,30s,8.02558,0.75123
2025-02-03,0.0,all,all,40s_plus,10.05521,0.43136
2025-02-03,0.0,all,all,all,9.6564,0.5725
2025-02-03,0.0,all,f,all,10.55877,0.54234
2025-02-03,0.0,all,m,all,6.8038,0.59118
2025-02-04,0.0,all,all,10s,2.10157,0.09632
2025-02-04,0.0,all,all,20s,7.67878,0.67142
2025-02-04,0.0,all,all,30s,7.88054,1.05991
2025-02-04,0.0,all,all,40s_plus,9.47502,0.49391
2025-02-04,0.0,all,all,all,8.99647,0.72291
2025-02-04,0.0,all,f,all,9.85991,0.76393
2025-02-04,0.0,all,m,all,6.3267,0.54624
2025-02-05,0.0,all,all,10s,1.96147,0.10507
2025-02-05,0.0,all,all,20s,8.30757,0.7407
2025-02-05,0.0,all,all,30s,7.83963,0.85164
2025-02-05,0.0,all,all,40s_plus,9.89776,0.40117
2025-02-05,0.0,all,all,all,9.28789,0.62796
2025-02-05,0.0,all,f,all,10.19152,0.64152
2025-02-05,0.0,all,m,all,6.57908,0.52549
2025-02-06,0.0,all,all,10s,2.77583,0.09632
2025-02-06,0.0,all,all,20s,9.26675,0.67142
2025-02-06,0.0,all,all,30s,10.74417,0.94834
2025-02-06,0.0,all,all,40s_plus,9.65619,0.34293
2025-02-06,0.0,all,all,all,10.26556,0.61386
2025-02-06,0.0,all,f,all,10.93532,0.63377
2025-02-06,0.0,all,m,all,8.17631,0.49092
2025-02-07,0.0,all,all,10s,2.03152,0.12259
2025-02-07,0.0,all,all,20s,9.14952,0.64478
2025-02-07,0.0,all,all,30s,9.87764,0.82933
2025-02-07,0.0,all,all,40s_plus,9.37149,0.43568
2025-02-07,0.0,all,all,all,9.72032,0.62984
2025-02-07,0.0,all,f,all,10.269,0.59658
2025-02-07,0.0,all,m,all,8.03111,0.60501
2025-02-08,0.0,all,all,10s,3.37127,0.10507
2025-02-08,0.0,all,all,20s,10.83875,0.65011
2025-02-08,0.0,all,all,30s,13.71192,0.83677
2025-02-08,0.0,all,all,40s_plus,13.08989,0.49607
2025-02-08,0.0,all,all,all,12.62984,0.60916
2025-02-08,0.0,all,f,all,13.58818,0.59348
2025-02-08,0.0,all,m,all,11.77528,0.71218
2025-02-09,0.0,all,all,10s,2.95971,0.10507
2025-02-09,0.0,all,all,20s,10.51902,0.63945
2025-02-09,0.0,all,all,30s,13.26936,0.98181
2025-02-09,0.0,all,all,40s_plus,13.42852,0.63411
2025-02-09,0.0,all,all,all,12.46909,0.72479
2025-02-09,0.0,all,f,all,13.56494,0.72055
2025-02-09,0.0,all,m,all,11.58859,0.77787
2025-02-10,0.0,all,all,10s,2.17162,0.13134
2025-02-10,0.0,all,all,20s,9.4053,0.83129
2025-02-10,0.0,all,all,30s,10.43921,0.9409
2025-02-10,0.0,all,all,40s_plus,12.4946,0.54568
2025-02-10,0.0,all,all,all,11.44441,0.73701
2025-02-10,0.0,all,f,all,12.43065,0.67716
2025-02-10,0.0,all,m,all,8.95764,0.82973
2025-02-11,0.0,all,all,10s,2.04903,0.04378
2025-02-11,0.0,all,all,20s,9.04295,0.68741
2025-02-11,0.0,all,all,30s,9.59128,1.01156
2025-02-11,0.0,all,all,40s_plus,11.05599,0.5845
2025-02-11,0.0,all,all,all,10.40188,0.76803
2025-02-11,0.0,all,f,all,11.04534,0.67406
2025-02-11,0.0,all,m,all,8.6707,0.83664
2025-02-12,0.0,all,all,10s,1.80385,0.14886
2025-02-12,0.0,all,all,20s,7.91324,0.66076
2025-02-12,0.0,all,all,30s,8.54624,0.75867
2025-02-12,0.0,all,all,40s_plus,10.3356,0.45293
2025-02-12,0.0,all,all,all,9.65546,0.63924
2025-02-12,0.0,all,f,all,10.52468,0.54544
2025-02-12,0.0,all,m,all,6.8764,0.70181
2025-02-13,0.0,all,all,10s,2.25043,0.11383
2025-02-13,0.0,all,all,20s,7.50825,0.77267
2025-02-13,0.0,all,all,30s,8.37889,1.42437
2025-02-13,0.0,all,all,40s_plus,11.4701,1.69743
2025-02-13,0.0,all,all,all,10.05687,1.49095
2025-02-13,0.0,all,f,all,11.1817,1.29544
2025-02-13,0.0,all,m,all,6.98703,1.70095
2025-02-14,0.0,all,all,10s,2.2767,0.08756
2025-02-14,0.0,all,all,20s,8.58467,0.64478
2025-02-14,0.0,all,all,30s,9.2826,1.03388
2025-02-14,0.0,all,all,40s_plus,12.28108,1.05469
2025-02-14,0.0,all,all,all,11.10129,1.04535
2025-02-14,0.0,all,f,all,11.82167,0.85071
2025-02-14,0.0,all,m,all,8.40795,1.20656
2025-02-15,0.0,all,all,10s,2.62697,0.09632
2025-02-15,0.0,all,all,20s,10.11403,0.55419
2025-02-15,0.0,all,all,30s,11.97143,0.92602
2025-02-15,0.0,all,all,40s_plus,14.34518,0.65568
2025-02-15,0.0,all,all,all,12.49447,0.70505
2025-02-15,0.0,all,f,all,13.55564,0.67251
